path	symbol	relations	evidence	disposition	final_state
app/services/finance/ap/ap_posting_saga.py	APInvoicePostingSaga._compensate_create_journal	gl.journal_entry	attribute_assignment	retire_with_accounting_cutover	writer_removed
app/services/finance/ar/ar_posting_saga.py	ARInvoicePostingSaga._compensate_create_journal	gl.journal_entry	attribute_assignment	retire_with_accounting_cutover	writer_removed
app/services/finance/automation/recurring.py	RecurringService.generate_journal	gl.journal_entry|gl.journal_entry_line	constructor|session_add	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/account_balance.py	AccountBalanceService.rebuild_balances_for_period	gl.account_balance	constructor|session_add|sql_dml	keep_local	retained_erp_writer
app/services/finance/gl/account_balance.py	AccountBalanceService.rollover_opening_balances	gl.account_balance	attribute_assignment|constructor|session_add	keep_local	retained_erp_writer
app/services/finance/gl/account_balance.py	AccountBalanceService.update_balance_for_posting	gl.account_balance	attribute_assignment|constructor|session_add	keep_local	retained_erp_writer
app/services/finance/gl/balance_invalidation.py	BalanceInvalidationService.invalidate	gl.account_balance|gl.balance_refresh_queue	attribute_assignment|constructor|session_add|sql_dml	keep_local	retained_erp_writer
app/services/finance/gl/balance_refresh.py	BalanceRefreshService._refresh_balance	gl.account_balance	attribute_assignment|constructor|session_add	keep_local	retained_erp_writer
app/services/finance/gl/chart_of_accounts.py	ChartOfAccountsService.create_account	gl.account	constructor|session_add	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/chart_of_accounts.py	ChartOfAccountsService.ensure_default_categories	gl.account_category	constructor	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/fiscal_period.py	FiscalPeriodService.create_period	gl.fiscal_period	constructor|session_add	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/fiscal_period.py	FiscalPeriodService.hard_close_period	gl.fiscal_period	attribute_assignment	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/fiscal_period.py	FiscalPeriodService.open_period	gl.fiscal_period	attribute_assignment	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/fiscal_period.py	FiscalPeriodService.reopen_period	gl.fiscal_period	attribute_assignment	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/fiscal_period.py	FiscalPeriodService.soft_close_period	gl.fiscal_period	attribute_assignment	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/fiscal_year.py	FiscalYearService.close_year	gl.fiscal_year	attribute_assignment	retire_with_accounting_cutover	writer_removed
app/services/finance/gl/fiscal_year.py	FiscalYearService.create_year	gl.fiscal_year	constructor|session_add	retire_with_accounting_cutover	writer_removed
