path	symbol	services	disposition	final_state
app/services/finance/gl/web/__init__.py	GLWebService.export_all_ledger_response	gl.bulk_posting	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/__init__.py	GLWebService.export_or_queue_ledger_response	gl.bulk_posting	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	AccountWebService.account_form_context	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	AccountWebService.category_tree_response	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	AccountWebService.create_account	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	AccountWebService.delete_account	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	AccountWebService.list_accounts_context	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	AccountWebService.update_account	gl.coa	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	_calculate_account_balance_trends	gl.balances	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/account_web.py	_calculate_account_balances	gl.balances	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/fx_revaluation_web.py	FXRevaluationWebService.post_response	gl.fx_revaluation	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/fx_revaluation_web.py	FXRevaluationWebService.preview_response	gl.fx_revaluation	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/journal_web.py	JournalWebService.create_journal	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/journal_web.py	JournalWebService.delete_journal	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/journal_web.py	JournalWebService.list_journals_context	gl.journal_query	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/journal_web.py	JournalWebService.post_journal_response	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/journal_web.py	JournalWebService.reverse_journal_response	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/journal_web.py	JournalWebService.update_journal	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/period_web.py	PeriodWebService.close_period	gl.calendar	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/period_web.py	PeriodWebService.close_period_response	gl.calendar	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/period_web.py	PeriodWebService.create_period_response	gl.calendar	gl_internal	retired_with_gl_owner
app/services/finance/gl/web/period_web.py	PeriodWebService.open_period_response	gl.calendar	gl_internal	retired_with_gl_owner
app/services/finance/import_export/opening_balance.py	OpeningBalanceImporter.import_file	gl.period_guard	repoint_to_module	caller_repointed
app/services/finance/lease/lease_posting_adapter.py	LeasePostingAdapter.post_initial_recognition	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/lease/lease_posting_adapter.py	LeasePostingAdapter.post_interest_accrual	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/lease/lease_posting_adapter.py	LeasePostingAdapter.post_lease_payment	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/lease/lease_posting_adapter.py	LeasePostingAdapter.post_lease_termination	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/lease/lease_posting_adapter.py	LeasePostingAdapter.post_rou_depreciation	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/lease/lease_posting_adapter.py	LeasePostingResult	gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/platform/outbox_reconciler.py	OutboxBalanceReconciler.reconcile_period	gl.balances	keep_local	retained_erp_caller
app/services/finance/posting/base.py	BasePostingAdapter.create_and_approve_journal	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/posting/base.py	BasePostingAdapter.create_approve_and_post_journal	gl.journal	gl_internal	retired_with_gl_owner
app/services/finance/posting/base.py	BasePostingAdapter.post_to_ledger	gl.poster	gl_internal	retired_with_gl_owner
app/services/finance/rpt/day_books.py	journal_day_book_context	gl.journal_query	repoint_to_module	caller_repointed
app/services/finance/tax/tax_posting_adapter.py	TAXPostingAdapter.post_current_tax_provision	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
app/services/finance/tax/tax_posting_adapter.py	TAXPostingAdapter.post_deferred_tax_movement	gl.journal|gl.posting_adapter	repoint_to_module	caller_repointed
