source_sheet,source_row,asset_number,asset_name,description,category_name,location_name,department,serial_number,model,manufacturer,quantity,condition_note,migration_date,acquisition_date,in_service_date,acquisition_cost,accumulated_depreciation,net_book_value,depreciation_method,useful_life_months,remaining_life_months,residual_value,currency_code,status,assumption_flag,assumption_note
SUMMARY REPORT SHEET,30,Dotmac/OE/Dt027,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GTX,HP  24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,31,Dotmac/OE/Dt028,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GON,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,32,Dotmac/OE/Dt029,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC20814VL,HP 24-DF1103NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,33,Dotmac/OE/Dt030,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GS6,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,34,Dotmac/OE/Dt031,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GOD,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,35,Dotmac/OE/Dt032,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GSD,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,36,Dotmac/OE/Dt033,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,YJ0169BY,LENOVO V130-201GM,LENOVO,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,37,Dotmac/OE/Dt034,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GSQ,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,38,Dotmac/OE/Dt035,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GOH,HP  24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,39,Dotmac/OE/Dt036,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GT3,HP24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,40,Dotmac/OE/Dt037,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GQC,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,41,Dotmac/OE/Dt038,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC20814VF,HP 24-DF1103NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,42,Dotmac/OE/Dt039,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GSN,HP  24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,43,Dotmac/OE/Dt040,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC2251GTO,HP  24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,44,Dotmac/OE/Dt041,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Call Centre.,8CC02828BX,HP 200G4AIO I5-10210U,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,45,Dotmac/OE/Dt042,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 2nd Floor",8CC9491M9P,HP 20-c412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
