asset_number,asset_name,source_sheet,source_row,missing_fields
Dotmac/OE/Kb046,keyboard,SUMMARY REPORT SHEET,115,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb047,keyboard,SUMMARY REPORT SHEET,116,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb048,keyboard,SUMMARY REPORT SHEET,117,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb049,keyboard,SUMMARY REPORT SHEET,118,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb050,keyboard,SUMMARY REPORT SHEET,119,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb051,keyboard,SUMMARY REPORT SHEET,120,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb052,keyboard,SUMMARY REPORT SHEET,121,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb053,keyboard,SUMMARY REPORT SHEET,122,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb054,keyboard,SUMMARY REPORT SHEET,123,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb055,keyboard,SUMMARY REPORT SHEET,124,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb056,keyboard,SUMMARY REPORT SHEET,125,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb057,keyboard,SUMMARY REPORT SHEET,126,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb058,keyboard,SUMMARY REPORT SHEET,127,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb059,keyboard,SUMMARY REPORT SHEET,128,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb060,keyboard,SUMMARY REPORT SHEET,129,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb061,keyboard,SUMMARY REPORT SHEET,130,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb062,keyboard,SUMMARY REPORT SHEET,131,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb063,keyboard,SUMMARY REPORT SHEET,132,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb064,keyboard,SUMMARY REPORT SHEET,133,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Kb065,keyboard,SUMMARY REPORT SHEET,134,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms001,Mouse,SUMMARY REPORT SHEET,135,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms002,Mouse,SUMMARY REPORT SHEET,136,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms003,Mouse,SUMMARY REPORT SHEET,137,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms004,Mouse,SUMMARY REPORT SHEET,138,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms005,Mouse,SUMMARY REPORT SHEET,139,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms006,Mouse,SUMMARY REPORT SHEET,140,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms007,Mouse,SUMMARY REPORT SHEET,141,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms008,Mouse,SUMMARY REPORT SHEET,142,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms009,Mouse,SUMMARY REPORT SHEET,143,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms010,Mouse,SUMMARY REPORT SHEET,144,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms011,Mouse,SUMMARY REPORT SHEET,145,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms012,Mouse,SUMMARY REPORT SHEET,146,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms013,Mouse,SUMMARY REPORT SHEET,147,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms014,Mouse,SUMMARY REPORT SHEET,148,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms015,Mouse,SUMMARY REPORT SHEET,149,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Ms016,Mouse,SUMMARY REPORT SHEET,150,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
