import time: self [us] | cumulative | imported package
import time:       567 |       1151 |                       click.exceptions
import time:      1322 |       3039 |                     click.types
import time:       376 |        376 |                     click._utils
import time:       438 |        438 |                       click.parser
import time:       347 |        784 |                     click.formatting
import time:       429 |        429 |                     click.termui
import time:      1834 |       6460 |                   click.core
import time:       521 |        521 |                   click.decorators
import time:       561 |       7542 |                 click
import time:       276 |        276 |                   pygments
import time:      3865 |       3865 |                   pygments.lexers._mapping
import time:       677 |        677 |                   pygments.modeline
import time:       175 |        175 |                   pygments.plugin
import time:       993 |        993 |                   pygments.util
import time:       584 |       6569 |                 pygments.lexers
import time:       270 |        270 |                     rich._extension
import time:       621 |        891 |                   rich
import time:       611 |        611 |                     termios
import time:       428 |       1039 |                   getpass
import time:       463 |        463 |                   rich._null_file
import time:       284 |        284 |                   rich.errors
import time:       475 |        475 |                               rich.color_triplet
import time:       336 |        811 |                             rich.palette
import time:       258 |       1068 |                           rich._palettes
import time:       457 |        457 |                           rich.repr
import time:       282 |        282 |                           rich.terminal_theme
import time:      1678 |       3482 |                         rich.color
import time:      1080 |       4562 |                       rich.style
import time:       902 |       5464 |                     rich.default_styles
import time:       485 |        485 |                     rich.theme
import time:       232 |       6180 |                   rich.themes
import time:      3496 |       3496 |                     rich._emoji_codes
import time:       623 |       4119 |                   rich._emoji_replace
import time:       256 |        256 |                   rich._export_format
import time:       110 |        110 |                   rich._fileno
import time:       309 |        309 |                       rich._loop
import time:       124 |        124 |                       rich._pick
import time:       399 |        399 |                           rich._cell_widths
import time:       515 |        913 |                         rich.cells
import time:       382 |       1294 |                       rich._wrap
import time:      1766 |       1766 |                             rich.segment
import time:       250 |       2016 |                           rich.jupyter
import time:       215 |        215 |                             rich.protocol
import time:       539 |        754 |                           rich.measure
import time:       157 |       2926 |                         rich.constrain
import time:       400 |       3325 |                       rich.align
import time:       715 |        715 |                       rich.containers
import time:       359 |        359 |                       rich.control
import time:       287 |        287 |                       rich.emoji
import time:      1606 |       8016 |                     rich.text
import time:       366 |       8382 |                   rich._log_render
import time:       359 |        359 |                   rich.highlighter
import time:       885 |        885 |                   rich.markup
import time:       179 |        179 |                   rich.pager
import time:       121 |        121 |                     attr
import time:       170 |        170 |                     rich.abc
import time:      2327 |       2616 |                   rich.pretty
import time:       300 |        300 |                   rich.region
import time:       493 |        493 |                       rich.box
import time:       234 |        234 |                       rich.padding
import time:       289 |       1014 |                     rich.panel
import time:      2408 |       2408 |                         fractions
import time:       379 |       2786 |                       rich._ratio
import time:      2804 |       5589 |                     rich.table
import time:       208 |       6810 |                   rich.scope
import time:       293 |        293 |                   rich.screen
import time:       140 |        140 |                   rich.styled
import time:      4498 |      37795 |                 rich.console
import time:       188 |        188 |                   rich.filesize
import time:       730 |        730 |                       rich.ansi
import time:       183 |        913 |                     rich.file_proxy
import time:       198 |        198 |                     rich.live_render
import time:       410 |       1520 |                   rich.live
import time:       259 |        259 |                   rich.progress_bar
import time:       297 |        297 |                     rich._spinners
import time:       284 |        581 |                   rich.spinner
import time:      3105 |       5651 |                 rich.progress
import time:       171 |        171 |                     pygments.filter
import time:      1106 |       1106 |                       pygments.token
import time:       645 |       1751 |                     pygments.filters
import time:       291 |        291 |                     pygments.regexopt
import time:       830 |       3040 |                   pygments.lexer
import time:       442 |        442 |                   pygments.style
import time:       338 |        338 |                     pygments.styles._mapping
import time:       228 |        566 |                   pygments.styles
import time:      2778 |       6824 |                 rich.syntax
import time:       884 |      65262 |               httpx._main
import time:       442 |     106678 |             httpx
import time:       307 |     106985 |           app.services.secrets
import time:       316 |        316 |             passlib.handlers
import time:       115 |        115 |               passlib.crypto
import time:        94 |         94 |               fastpbkdf2
import time:       691 |        900 |             passlib.crypto.digest
import time:       716 |       1931 |           passlib.handlers.pbkdf2
import time:      1513 |       1513 |           passlib.handlers.bcrypt
import time:      1365 |     218611 |         app.services.auth_flow
import time:      1036 |     329037 |       app.services.auth_dependencies
import time:       383 |        383 |       app.services.feature_flags
import time:       303 |     329721 |     app.api.deps
import time:     10199 |      10199 |     app.schemas.audit
import time:      2081 |       2081 |     app.schemas.common
import time:       414 |        414 |     app.services.audit
import time:     15524 |     358099 |   app.api.audit
import time:     58023 |      58023 |   app.api.auth
import time:       186 |        186 |         app.services.upload_utils
import time:       173 |        358 |       app.services.avatar
import time:       539 |        539 |           email.generator
import time:       982 |       1520 |         smtplib
import time:       158 |        158 |           email.mime
import time:      3039 |       3039 |                   email._header_value_parser
import time:      1362 |       4400 |                 email.headerregistry
import time:       471 |        471 |                 email.contentmanager
import time:       420 |       5291 |               email.policy
import time:       167 |       5457 |             email.mime.base
import time:       182 |       5639 |           email.mime.nonmultipart
import time:       304 |       6099 |         email.mime.application
import time:       145 |        145 |         email.mime.multipart
import time:       124 |        124 |         email.mime.text
import time:    279948 |     279948 |         app.models.email_profile
import time:       743 |     288577 |       app.services.email
import time:       401 |     289335 |     app.services.auth_flow_api
import time:     37877 |     327211 |   app.api.auth_flow
import time:       161 |        161 |       app.middleware
import time:       240 |        240 |       app.net
import time:      2143 |       2544 |     app.middleware.rate_limit
import time:     31781 |      31781 |     app.schemas.careers
import time:       376 |        376 |         app.services.careers.candidate_notifications
import time:       154 |        154 |         app.services.careers.captcha
import time:      2882 |       2882 |             app.services.file_upload
import time:       310 |       3191 |           app.services.careers.resume_service
import time:       241 |        241 |                                 numpy.version
import time:       147 |        147 |                                 numpy._expired_attrs_2_0
import time:       162 |        162 |                                     numpy._utils._convertions
import time:       379 |        541 |                                   numpy._utils
import time:       395 |        935 |                                 numpy._globals
import time:        34 |         34 |                                   numpy._distributor_init_local
import time:       133 |        166 |                                 numpy._distributor_init
import time:       558 |        558 |                                           numpy.exceptions
import time:      3100 |       3100 |                                           numpy._core._exceptions
import time:       280 |        280 |                                           numpy._core.printoptions
import time:       345 |        345 |                                           numpy.dtypes
import time:     26914 |      31195 |                                         numpy._core._multiarray_umath
import time:       247 |        247 |                                           numpy._utils._inspect
import time:       806 |       1052 |                                         numpy._core.overrides
import time:     16232 |      48478 |                                       numpy._core.multiarray
import time:      6964 |       6964 |                                       numpy._core.umath
import time:       475 |        475 |                                         numpy._core._dtype
import time:       385 |        385 |                                         numpy._core._string_helpers
import time:      3795 |       3795 |                                         numpy._core._type_aliases
import time:      2140 |       6793 |                                       numpy._core.numerictypes
import time:       449 |        449 |                                               numpy._core._methods
import time:      7183 |       7631 |                                             numpy._core.fromnumeric
import time:       535 |       8166 |                                           numpy._core.shape_base
import time:       474 |        474 |                                           numpy._core._ufunc_config
import time:       271 |        271 |                                           numpy._core._asarray
import time:      1357 |       1357 |                                           numpy._core.arrayprint
import time:      3150 |      13416 |                                         numpy._core.numeric
import time:       823 |      14239 |                                       numpy._core.einsumfunc
import time:      4090 |       4090 |                                       numpy._core.function_base
import time:      3204 |       3204 |                                       numpy._core.getlimits
import time:       306 |        306 |                                       numpy._core.memmap
import time:       585 |        585 |                                       numpy._core.records
import time:     24867 |      24867 |                                       numpy._core._add_newdocs
import time:      4101 |       4101 |                                       numpy._core._add_newdocs_scalars
import time:       324 |        324 |                                       numpy._core._dtype_ctypes
import time:      1134 |       1134 |                                       numpy._core._internal
import time:       274 |        274 |                                       numpy._pytesttester
import time:      1081 |     116433 |                                     numpy._core
import time:        40 |     116472 |                                   numpy._core._multiarray_umath
import time:       466 |     116938 |                                 numpy.__config__
import time:       301 |        301 |                                                   numpy._typing._nbit_base
import time:       299 |        299 |                                                   numpy._typing._nested_sequence
import time:       142 |        142 |                                                   numpy._typing._shape
import time:      3328 |       4068 |                                                 numpy._typing._array_like
import time:      5946 |       5946 |                                                 numpy._typing._char_codes
import time:      7045 |       7045 |                                                 numpy._typing._dtype_like
import time:       292 |        292 |                                                 numpy._typing._nbit
import time:       149 |        149 |                                                 numpy._typing._scalars
import time:       108 |        108 |                                                 numpy._typing._ufunc
import time:       700 |      18307 |                                               numpy._typing
import time:       491 |        491 |                                                 numpy.lib._stride_tricks_impl
import time:       459 |        949 |                                               numpy.lib._twodim_base_impl
import time:       117 |        117 |                                                 numpy.lib._array_utils_impl
import time:       131 |        247 |                                               numpy.lib.array_utils
import time:       546 |        546 |                                               numpy.linalg._umath_linalg
import time:      3836 |      23882 |                                             numpy.linalg._linalg
import time:       198 |      24080 |                                           numpy.linalg
import time:       487 |      24567 |                                         numpy.matrixlib.defmatrix
import time:       468 |      25034 |                                       numpy.matrixlib
import time:       381 |        381 |                                         numpy.lib._histograms_impl
import time:      5581 |       5962 |                                       numpy.lib._function_base_impl
import time:       640 |      31635 |                                     numpy.lib._index_tricks_impl
import time:       496 |      32131 |                                   numpy.lib._arraypad_impl
import time:      1526 |       1526 |                                   numpy.lib._arraysetops_impl
import time:       284 |        284 |                                   numpy.lib._arrayterator_impl
import time:       601 |        601 |                                   numpy.lib._nanfunctions_impl
import time:       333 |        333 |                                         numpy.lib._utils_impl
import time:       839 |       1171 |                                       numpy.lib._format_impl
import time:       207 |       1378 |                                     numpy.lib.format
import time:       427 |        427 |                                     numpy.lib._datasource
import time:       502 |        502 |                                     numpy.lib._iotools
import time:       858 |       3164 |                                   numpy.lib._npyio_impl
import time:       605 |        605 |                                       numpy.lib._ufunclike_impl
import time:       393 |        997 |                                     numpy.lib._type_check_impl
import time:       864 |       1861 |                                   numpy.lib._polynomial_impl
import time:       877 |        877 |                                   numpy.lib._shape_base_impl
import time:       211 |        211 |                                   numpy.lib._version
import time:       253 |        253 |                                   numpy.lib.introspect
import time:       290 |        290 |                                   numpy.lib.mixins
import time:       415 |        415 |                                   numpy.lib.npyio
import time:       401 |        401 |                                     numpy.lib._scimath_impl
import time:       135 |        536 |                                   numpy.lib.scimath
import time:       121 |        121 |                                   numpy.lib.stride_tricks
import time:       621 |      42886 |                                 numpy.lib
import time:       169 |        169 |                                 numpy._array_api_info
import time:      2137 |     163616 |                               numpy
import time:        30 |     163645 |                             numpy._core
import time:        59 |     163703 |                           numpy._core._multiarray_umath
import time:      3742 |     167445 |                         shapely.lib
import time:       282 |        282 |                         shapely.errors
import time:       397 |        397 |                             shapely._geos
import time:       998 |       1395 |                           shapely._geometry_helpers
import time:       294 |        294 |                           shapely._enum
import time:       279 |        279 |                           shapely.decorators
import time:       824 |       2790 |                         shapely._geometry
import time:       201 |        201 |                               shapely.coordinates
import time:       528 |        528 |                               shapely.predicates
import time:       305 |       1033 |                             shapely._ragged_array
import time:       528 |       1560 |                           shapely.io
import time:       454 |       2013 |                         shapely.creation
import time:       215 |        215 |                             shapely.algorithms
import time:       428 |        428 |                             shapely.affinity
import time:       453 |       1095 |                           shapely.algorithms._oriented_envelope
import time:       155 |        155 |                           shapely.algorithms.cga
import time:      1098 |       2347 |                         shapely.constructive
import time:       230 |        230 |                         shapely.measurement
import time:       312 |        312 |                         shapely.set_operations
import time:       753 |        753 |                         shapely.linear
import time:       190 |        190 |                                 shapely.coords
import time:      2234 |       2424 |                               shapely.geometry.base
import time:       344 |        344 |                               shapely.geometry.collection
import time:       169 |        169 |                                   shapely.geometry.point
import time:       206 |        375 |                                 shapely.geometry.linestring
import time:       202 |        202 |                                 shapely.geometry.multilinestring
import time:       191 |        191 |                                 shapely.geometry.multipoint
import time:       281 |        281 |                                   shapely.geometry.polygon
import time:       164 |        444 |                                 shapely.geometry.multipolygon
import time:       226 |       1436 |                               shapely.geometry.geo
import time:       365 |       4567 |                             shapely.geometry
import time:       131 |       4698 |                           shapely.geometry.base
import time:      5824 |      10522 |                         shapely.strtree
import time:       300 |        300 |                         shapely._coverage
import time:       103 |        103 |                         shapely._version
import time:       658 |     187750 |                       shapely
import time:        28 |     187778 |                     shapely.geometry
import time:       102 |        102 |                     shapely.validation
import time:       971 |     188850 |                   app.services.people.attendance.attendance_service
import time:       468 |        468 |                             jinja2.bccache
import time:       630 |        630 |                                 markupsafe._speedups
import time:       797 |       1426 |                               markupsafe
import time:      3002 |       3002 |                                 jinja2.utils
import time:      3044 |       6045 |                               jinja2.nodes
import time:       519 |        519 |                                 jinja2.exceptions
import time:       194 |        194 |                                   jinja2.visitor
import time:       502 |        696 |                                 jinja2.idtracking
import time:       151 |        151 |                                 jinja2.optimizer
import time:      1999 |       3363 |                               jinja2.compiler
import time:       290 |        290 |                                   jinja2.async_utils
import time:      2278 |       2278 |                                   jinja2.runtime
import time:      2164 |       4731 |                                 jinja2.filters
import time:       733 |        733 |                                 jinja2.tests
import time:       213 |       5677 |                               jinja2.defaults
import time:      1180 |       1180 |                                 jinja2._identifier
import time:      5099 |       6278 |                               jinja2.lexer
import time:      1169 |       1169 |                               jinja2.parser
import time:      3235 |      27190 |                             jinja2.environment
import time:      1479 |       1479 |                             jinja2.loaders
import time:       422 |      29557 |                           jinja2
import time:       317 |      29874 |                         starlette.templating
import time:       174 |      30047 |                       fastapi.templating
import time:       471 |        471 |                       app.i18n
import time:       432 |        432 |                       app.services.formatters
import time:      1033 |      31980 |                     app.templates
import time:       194 |        194 |                       app.web
import time:      1848 |       1848 |                                   app.services.finance.common.attachment
import time:       171 |        171 |                                   app.services.finance.common.formatters
import time:       207 |        207 |                                   app.services.finance.common.helpers
import time:       393 |        393 |                                   app.services.finance.common.logging
import time:       186 |        186 |                                     app.services.finance.common.sequence_utils
import time:       417 |        602 |                                   app.services.finance.common.numbering
import time:       263 |        263 |                                   app.services.finance.common.search
import time:       293 |       3774 |                                 app.services.finance.common
import time:       950 |       4723 |                               app.services.finance.common.aging_helper
import time:       395 |        395 |                                     app.services.finance.platform.authorization
import time:      1276 |       1276 |                                     app.services.finance.platform.fx
import time:      1283 |       2953 |                                   app.services.finance.platform.approval_workflow
import time:       407 |        407 |                                   app.services.finance.platform.audit_log
import time:       233 |        233 |                                   app.services.finance.platform.feature_flag
import time:       332 |        332 |                                   app.services.finance.platform.idempotency
import time:       209 |        209 |                                     app.services.request_cache
import time:       207 |        416 |                                   app.services.finance.platform.org_context
import time:      2007 |       2007 |                                   app.services.finance.platform.outbox_publisher
import time:       457 |        457 |                                   app.services.finance.platform.sequence
import time:       271 |       7074 |                                 app.services.finance.platform
import time:        28 |       7102 |                               app.services.finance.platform.org_context
import time:      2117 |      13941 |                             app.services.finance.ap.ap_aging
import time:      2594 |       2594 |                                         app.services.finance.tax.deferred_tax
import time:      6761 |       6761 |                                         app.services.finance.tax.tax_calculation
import time:      4921 |       4921 |                                         app.services.finance.tax.tax_master
import time:       203 |        203 |                                               dateutil._version
import time:       216 |        419 |                                             dateutil
import time:      1290 |       1290 |                                             six
import time:       169 |        169 |                                             dateutil._common
import time:       369 |       2246 |                                           dateutil.relativedelta
import time:      1185 |       3430 |                                         app.services.finance.tax.tax_period
import time:      1794 |       1794 |                                               app.services.finance.gl.account_balance
import time:       174 |        174 |                                                 app.services.audit_dispatcher
import time:       929 |        929 |                                                   app.services.finance.gl.period_guard
import time:      3420 |       4348 |                                                 app.services.finance.gl.ledger_posting
import time:      2466 |       6988 |                                               app.services.finance.gl.journal
import time:      2262 |       2262 |                                               app.services.finance.gl.reversal
import time:      2038 |       2038 |                                               app.services.finance.gl.chart_of_accounts
import time:      6162 |       6162 |                                               app.services.finance.gl.fiscal_period
import time:      1349 |       1349 |                                               app.services.finance.gl.fiscal_year
import time:       879 |        879 |                                               app.services.finance.gl.gl_posting_adapter
import time:       423 |      21892 |                                             app.services.finance.gl
import time:        23 |      21914 |                                           app.services.finance.gl.journal
import time:      1062 |       1062 |                                             app.services.finance.posting
import time:       847 |       1909 |                                           app.services.finance.posting.base
import time:       738 |      24560 |                                         app.services.finance.tax.tax_posting_adapter
import time:      1613 |       1613 |                                         app.services.finance.tax.tax_reconciliation
import time:      1275 |       1275 |                                         app.services.finance.tax.tax_return
import time:      2941 |       2941 |                                         app.services.finance.tax.tax_transaction
import time:       675 |      48766 |                                       app.services.finance.tax
import time:        43 |      48809 |                                     app.services.finance.tax.tax_transaction
import time:       286 |      49094 |                                   app.services.finance.ap.posting.helpers
import time:      5555 |       5555 |                                   app.services.finance.ap.posting.result
import time:       400 |      55048 |                                 app.services.finance.ap.posting.invoice
import time:       273 |        273 |                                 app.services.finance.ap.posting.payment
import time:       172 |        172 |                                 app.services.finance.ap.posting.reversal
import time:       198 |      55690 |                               app.services.finance.ap.posting
import time:       325 |      56014 |                             app.services.finance.ap.ap_posting_adapter
import time:      4021 |       4021 |                                   app.services.inventory.balance
import time:      3420 |       3420 |                                   app.services.inventory.bom
import time:      4234 |       4234 |                                   app.services.inventory.count
import time:      9028 |       9028 |                                   app.services.inventory.fifo_valuation
import time:       400 |        400 |                                         app.services.inventory.posting.helpers
import time:       230 |        230 |                                         app.services.inventory.posting.result
import time:       620 |       1250 |                                       app.services.inventory.posting.adjustment
import time:       324 |        324 |                                       app.services.inventory.posting.issue
import time:       477 |        477 |                                       app.services.inventory.posting.receipt
import time:       345 |        345 |                                       app.services.inventory.posting.router
import time:       237 |       2631 |                                     app.services.inventory.posting
import time:       400 |       3030 |                                   app.services.inventory.inv_posting_adapter
import time:      3626 |       3626 |                                   app.services.inventory.item
import time:      2902 |       2902 |                                   app.services.inventory.lot_serial
import time:      2867 |       2867 |                                   app.services.inventory.price_list
import time:      2373 |       2373 |                                   app.services.inventory.transaction
import time:      3067 |       3067 |                                   app.services.inventory.warehouse
import time:       666 |      39229 |                                 app.services.inventory
import time:        28 |      39257 |                               app.services.inventory.transaction
import time:      8485 |      47741 |                             app.services.finance.ap.goods_receipt
import time:      1944 |       1944 |                             app.services.finance.ap.payment_batch
import time:      2478 |       2478 |                             app.services.finance.ap.purchase_order
import time:      1726 |       1726 |                             app.services.finance.ap.supplier
import time:      2764 |       2764 |                             app.services.finance.ap.supplier_invoice
import time:      1958 |       1958 |                             app.services.finance.ap.supplier_payment
import time:       528 |     129091 |                           app.services.finance.ap
import time:      1928 |       1928 |                             app.services.finance.ar.ar_aging
import time:       258 |        258 |                                 app.services.finance.ar.posting.helpers
import time:      2376 |       2376 |                                   app.services.finance.ar.ar_inventory_integration
import time:       238 |        238 |                                   app.services.finance.ar.posting.result
import time:       311 |       2924 |                                 app.services.finance.ar.posting.invoice
import time:       207 |        207 |                                 app.services.finance.ar.posting.payment
import time:       182 |       3569 |                               app.services.finance.ar.posting
import time:       271 |       3840 |                             app.services.finance.ar.ar_posting_adapter
import time:      3202 |       3202 |                             app.services.finance.ar.contract
import time:      2491 |       2491 |                             app.services.finance.ar.customer
import time:      2531 |       2531 |                             app.services.finance.ar.customer_payment
import time:      4309 |       4309 |                             app.services.finance.ar.invoice
import time:       564 |      18862 |                           app.services.finance.ar
import time:       946 |        946 |                             app.services.finance.cons.cons_posting_adapter
import time:      2757 |       2757 |                             app.services.finance.cons.consolidation
import time:      3009 |       3009 |                             app.services.finance.cons.intercompany
import time:      5332 |       5332 |                             app.services.finance.cons.legal_entity
import time:      5615 |       5615 |                             app.services.finance.cons.ownership
import time:       528 |      18185 |                           app.services.finance.cons
import time:      2176 |       2176 |                             app.services.finance.lease.lease_calculation
import time:      6292 |       6292 |                             app.services.finance.lease.lease_contract
import time:      1949 |       1949 |                             app.services.finance.lease.lease_modification
import time:      1029 |       1029 |                             app.services.finance.lease.lease_posting_adapter
import time:      1791 |       1791 |                             app.services.finance.lease.lease_variable_payment
import time:       501 |      13736 |                           app.services.finance.lease
import time:      5665 |       5665 |                             app.services.finance.rpt.disclosure_checklist
import time:      3073 |       3073 |                             app.services.finance.rpt.financial_statement
import time:      5691 |       5691 |                             app.services.finance.rpt.report_definition
import time:      1698 |       1698 |                               app.services.finance.rpt.web
import time:      5722 |       7419 |                             app.services.finance.rpt.report_instance
import time:      4448 |       4448 |                             app.services.finance.rpt.report_scheduler
import time:      3657 |      29950 |                           app.services.finance.rpt
import time:       306 |     210128 |                         app.services.finance
import time:     95312 |      95312 |                             app.schemas.finance.ap
import time:     73179 |      73179 |                             app.schemas.finance.ar
import time:     11501 |      11501 |                             app.schemas.finance.common
import time:     41873 |      41873 |                             app.schemas.finance.gl
import time:       431 |     222294 |                           app.schemas.finance
import time:     30638 |     252932 |                         app.schemas.finance.branding
import time:       734 |     463793 |                       app.services.finance.branding
import time:      2690 |     466676 |                     app.web.deps
import time:       886 |     499541 |                   app.services.people.attendance.web
import time:       242 |     688633 |                 app.services.people.attendance
import time:      2081 |       2081 |                       app.services.expense.approval_service
import time:       417 |        417 |                       app.services.expense.expense_notifications
import time:      1037 |       1037 |                       app.services.expense.expense_posting_adapter
import time:      2893 |       2893 |                       app.services.expense.expense_service
import time:      1707 |       1707 |                       app.services.expense.limit_service
import time:       399 |        399 |                       app.services.expense.limit_web
import time:       626 |        626 |                       app.services.expense.web
import time:       292 |       9449 |                     app.services.expense
import time:        24 |       9472 |                   app.services.expense.expense_service
import time:       299 |       9771 |                 app.services.people.expense
import time:       721 |        721 |                   app.services.people.hr.employee_extended
import time:      6159 |       6159 |                   app.services.people.hr.employee_types
import time:      1099 |       1099 |                     app.services.people.hr.errors
import time:       552 |       1650 |                   app.services.people.hr.employees
import time:       373 |        373 |                   app.services.people.hr.job_description
import time:       291 |        291 |                   app.services.people.hr.lifecycle
import time:       479 |        479 |                   app.services.people.hr.onboarding
import time:      6467 |       6467 |                     app.services.people.hr.organization_types
import time:       470 |       6936 |                   app.services.people.hr.organization
import time:       308 |      16915 |                 app.services.people.hr
import time:       163 |        163 |                     app.services.state_machine
import time:      1267 |       1429 |                   app.services.people.leave.leave_service
import time:       957 |        957 |                   app.services.people.leave.web
import time:       236 |       2622 |                 app.services.people.leave
import time:       803 |        803 |                   app.services.people.perf.perf_service
import time:       146 |        949 |                 app.services.people.perf
import time:       246 |        246 |                     app.services.people.recruit.notifications
import time:       974 |       1219 |                   app.services.people.recruit.recruit_service
import time:       194 |       1413 |                 app.services.people.recruit
import time:       880 |        880 |                   app.services.people.training.training_service
import time:       141 |       1021 |                 app.services.people.training
import time:       324 |     721643 |               app.services.people
import time:        17 |     721660 |             app.services.people.recruit
import time:        29 |     721689 |           app.services.people.recruit.notifications
import time:       554 |     725433 |         app.services.careers.careers_service
import time:       671 |     726633 |       app.services.careers
import time:      1755 |     728387 |     app.services.careers.web
import time:     22192 |     784902 |   app.api.careers
import time:     15101 |      15101 |   app.api.crm
import time:       744 |        744 |     app.api.idempotency
import time:    184178 |     184178 |     app.schemas.expense
import time:    207812 |     392733 |   app.api.expense
import time:     73711 |      73711 |   app.api.expense_limits
import time:       261 |        261 |       app.api.finance.utils
import time:    416893 |     417153 |     app.api.finance.ap
import time:    112089 |     112089 |     app.api.finance.ar
import time:     84312 |      84312 |       app.schemas.finance.banking
import time:      1955 |       1955 |         app.services.finance.banking.bank_account
import time:      2140 |       2140 |         app.services.finance.banking.bank_reconciliation
import time:       212 |        212 |                 openpyxl.compat.numbers
import time:       170 |        170 |                 openpyxl.compat.strings
import time:       407 |        787 |               openpyxl.compat
import time:        28 |        815 |             openpyxl.compat.numbers
import time:        79 |         79 |                 lxml
import time:        27 |        105 |               lxml.etree
import time:        82 |         82 |               defusedxml
import time:       171 |        357 |             openpyxl.xml
import time:       196 |        196 |                   openpyxl.worksheet
import time:       291 |        291 |                       openpyxl.utils.exceptions
import time:      1083 |       1373 |                     openpyxl.utils.cell
import time:       829 |        829 |                         openpyxl.formula.tokenizer
import time:       191 |       1019 |                       openpyxl.formula
import time:       453 |       1472 |                     openpyxl.utils.formulas
import time:       223 |       3067 |                   openpyxl.utils
import time:      1505 |       1505 |                               openpyxl.utils.datetime
import time:       145 |        145 |                               openpyxl.descriptors.namespace
import time:       608 |       2257 |                             openpyxl.descriptors.base
import time:       582 |        582 |                                     xml
import time:       238 |        820 |                                   xml.etree
import time:       882 |        882 |                                   xml.etree.ElementPath
import time:       366 |        366 |                                     pyexpat
import time:       258 |        623 |                                   _elementtree
import time:      1269 |       3594 |                                 xml.etree.ElementTree
import time:       365 |        365 |                                     et_xmlfile.incremental_tree
import time:       597 |        962 |                                   et_xmlfile.xmlfile
import time:       334 |       1295 |                                 et_xmlfile
import time:       327 |        327 |                                 openpyxl.xml.constants
import time:       582 |       5796 |                               openpyxl.xml.functions
import time:       818 |        818 |                               openpyxl.utils.indexed_list
import time:       344 |       6958 |                             openpyxl.descriptors.sequence
import time:       310 |       9524 |                           openpyxl.descriptors
import time:       709 |        709 |                           openpyxl.descriptors.serialisable
import time:       529 |      10761 |                         openpyxl.styles.alignment
import time:       534 |        534 |                           openpyxl.styles.colors
import time:       378 |        911 |                         openpyxl.styles.borders
import time:       556 |        556 |                         openpyxl.styles.fills
import time:       416 |        416 |                           openpyxl.descriptors.nested
import time:       363 |        779 |                         openpyxl.styles.fonts
import time:       736 |        736 |                         openpyxl.styles.numbers
import time:       229 |        229 |                         openpyxl.styles.protection
import time:       356 |        356 |                           openpyxl.descriptors.excel
import time:       589 |        589 |                           openpyxl.styles.cell_style
import time:       416 |       1361 |                         openpyxl.styles.named_styles
import time:       366 |      15695 |                       openpyxl.styles
import time:       218 |        218 |                         openpyxl.styles.proxy
import time:     13324 |      13324 |                         openpyxl.styles.builtins
import time:       495 |      14036 |                       openpyxl.styles.styleable
import time:       420 |        420 |                       openpyxl.worksheet.hyperlink
import time:       203 |        203 |                       openpyxl.worksheet.formula
import time:       559 |        559 |                         openpyxl.cell.text
import time:       394 |        952 |                       openpyxl.cell.rich_text
import time:       749 |      32053 |                     openpyxl.cell.cell
import time:       418 |        418 |                     openpyxl.cell.read_only
import time:       209 |      32679 |                   openpyxl.cell
import time:      2769 |       2769 |                         openpyxl.styles.differential
import time:      1200 |       3969 |                       openpyxl.formatting.rule
import time:       291 |       4259 |                     openpyxl.formatting
import time:       416 |        416 |                     openpyxl.worksheet.cell_range
import time:       462 |       5136 |                   openpyxl.formatting.formatting
import time:       167 |        167 |                     openpyxl.packaging
import time:       160 |        160 |                     openpyxl.descriptors.container
import time:       356 |        682 |                   openpyxl.packaging.relationship
import time:       136 |        136 |                       openpyxl.utils.escape
import time:       683 |        819 |                     openpyxl.worksheet.header_footer
import time:       374 |       1192 |                   openpyxl.workbook.child
import time:       612 |        612 |                   openpyxl.workbook.defined_name
import time:       572 |        572 |                   openpyxl.formula.translate
import time:       378 |        378 |                   openpyxl.worksheet.datavalidation
import time:       523 |        523 |                   openpyxl.worksheet.page
import time:       153 |        153 |                     openpyxl.utils.units
import time:       143 |        143 |                     openpyxl.utils.bound_dictionary
import time:       479 |        774 |                   openpyxl.worksheet.dimensions
import time:       121 |        121 |                     openpyxl.utils.protection
import time:       615 |        735 |                   openpyxl.worksheet.protection
import time:      1157 |       1157 |                   openpyxl.worksheet.filters
import time:       423 |        423 |                   openpyxl.worksheet.views
import time:       299 |        299 |                   openpyxl.worksheet.merge
import time:       261 |        261 |                   openpyxl.worksheet.properties
import time:       270 |        270 |                   openpyxl.worksheet.pagebreak
import time:       257 |        257 |                   openpyxl.worksheet.scenario
import time:       232 |        232 |                     openpyxl.worksheet.related
import time:       681 |        912 |                   openpyxl.worksheet.table
import time:      1276 |       1276 |                   openpyxl.worksheet.print_settings
import time:      1207 |      52599 |                 openpyxl.worksheet.worksheet
import time:       497 |        497 |                   openpyxl.worksheet._reader
import time:       303 |        799 |                 openpyxl.worksheet._read_only
import time:       390 |        390 |                         openpyxl.comments.comments
import time:       207 |        597 |                       openpyxl.comments
import time:       242 |        242 |                       openpyxl.comments.author
import time:       188 |        188 |                       openpyxl.comments.shape_writer
import time:       612 |       1637 |                     openpyxl.comments.comment_sheet
import time:       209 |        209 |                     openpyxl.cell._writer
import time:       376 |       2221 |                   openpyxl.worksheet._writer
import time:       260 |       2481 |                 openpyxl.worksheet._write_only
import time:       259 |        259 |                 openpyxl.worksheet.copier
import time:       155 |        155 |                   openpyxl.writer
import time:       336 |        336 |                       openpyxl.drawing.drawing
import time:       231 |        567 |                     openpyxl.drawing
