import time: self [us] | cumulative | imported package
import time:      3587 |     144457 |       sqlalchemy.engine.events
import time:       242 |        242 |           sqlalchemy.dialects
import time:      1340 |       1582 |         sqlalchemy.engine.url
import time:       256 |        256 |         sqlalchemy.engine.mock
import time:      1267 |       3103 |       sqlalchemy.engine.create
import time:      1304 |       1304 |           sqlalchemy.engine.row
import time:      3510 |       4814 |         sqlalchemy.engine.result
import time:      1647 |       6461 |       sqlalchemy.engine.cursor
import time:      3299 |       3299 |       sqlalchemy.engine.reflection
import time:       509 |     157827 |     sqlalchemy.engine
import time:       414 |        414 |     sqlalchemy.schema
import time:       346 |        346 |     sqlalchemy.types
import time:       340 |        340 |       sqlalchemy.engine.characteristics
import time:      2634 |       2974 |     sqlalchemy.engine.default
import time:      1293 |     178360 |   sqlalchemy
import time:       245 |        245 |                 sqlalchemy.sql._orm_types
import time:      4217 |       4461 |               sqlalchemy.orm._typing
import time:      2058 |       6518 |             sqlalchemy.orm.base
import time:       837 |        837 |             sqlalchemy.orm.mapped_collection
import time:      1839 |       9194 |           sqlalchemy.orm.collections
import time:      1203 |       1203 |             sqlalchemy.orm.path_registry
import time:      2633 |       3836 |           sqlalchemy.orm.interfaces
import time:      3742 |      16770 |         sqlalchemy.orm.attributes
import time:      2882 |      19652 |       sqlalchemy.orm.util
import time:       700 |      20352 |     sqlalchemy.orm.exc
import time:      1561 |       1561 |         sqlalchemy.orm.state
import time:      2302 |       3862 |       sqlalchemy.orm.instrumentation
import time:       212 |        212 |             sqlalchemy.future.engine
import time:       227 |        439 |           sqlalchemy.future
import time:      2411 |       2850 |         sqlalchemy.orm.context
import time:      2451 |       5300 |       sqlalchemy.orm.loading
import time:      2554 |       2554 |         sqlalchemy.orm.strategy_options
import time:      1888 |       1888 |         sqlalchemy.orm.descriptor_props
import time:      4885 |       4885 |         sqlalchemy.orm.relationships
import time:      1378 |      10704 |       sqlalchemy.orm.properties
import time:      5044 |      24909 |     sqlalchemy.orm.mapper
import time:     10473 |      10473 |       sqlalchemy.orm.query
import time:       585 |        585 |           sqlalchemy.orm.evaluator
import time:       273 |        273 |             sqlalchemy.orm.sync
import time:       598 |        871 |           sqlalchemy.orm.persistence
import time:      2914 |       4369 |         sqlalchemy.orm.bulk_persistence
import time:       350 |        350 |         sqlalchemy.orm.identity
import time:       652 |        652 |         sqlalchemy.orm.state_changes
import time:       710 |        710 |         sqlalchemy.orm.unitofwork
import time:      4773 |      10851 |       sqlalchemy.orm.session
import time:      1850 |      23173 |     sqlalchemy.orm._orm_constructors
import time:       695 |        695 |       sqlalchemy.orm.clsregistry
import time:      2509 |       2509 |       sqlalchemy.orm.decl_base
import time:      1971 |       5174 |     sqlalchemy.orm.decl_api
import time:      2414 |       2414 |         sqlalchemy.orm.strategies
import time:       939 |       3352 |       sqlalchemy.orm.writeonly
import time:       839 |       4190 |     sqlalchemy.orm.dynamic
import time:       775 |        775 |       sqlalchemy.orm.scoping
import time:     10164 |      10939 |     sqlalchemy.orm.events
import time:       870 |        870 |     sqlalchemy.orm.dependency
import time:       982 |      90586 |   sqlalchemy.orm
import time:       233 |        233 |               sqlalchemy.dialects.postgresql.operators
import time:       742 |        975 |             sqlalchemy.dialects.postgresql.array
import time:       563 |        563 |               sqlalchemy.dialects.postgresql.json
import time:      2603 |       2603 |               sqlalchemy.dialects.postgresql.ranges
import time:       745 |        745 |                   sqlalchemy.dialects.postgresql.types
import time:     11466 |      12211 |                 sqlalchemy.dialects.postgresql.pg_catalog
import time:      2372 |       2372 |                 sqlalchemy.dialects.postgresql.ext
import time:      2250 |       2250 |                 sqlalchemy.dialects.postgresql.hstore
import time:       969 |        969 |                 sqlalchemy.dialects.postgresql.named_types
import time:      8153 |      25952 |               sqlalchemy.dialects.postgresql.base
import time:      2703 |      31820 |             sqlalchemy.dialects.postgresql.asyncpg
import time:      1945 |       1945 |             sqlalchemy.dialects.postgresql.pg8000
import time:       532 |        532 |               sqlalchemy.dialects.postgresql._psycopg_common
import time:      2136 |       2667 |             sqlalchemy.dialects.postgresql.psycopg
import time:       874 |        874 |             sqlalchemy.dialects.postgresql.psycopg2
import time:       218 |        218 |             sqlalchemy.dialects.postgresql.psycopg2cffi
import time:       437 |        437 |               sqlalchemy.dialects._typing
import time:      1572 |       2008 |             sqlalchemy.dialects.postgresql.dml
import time:       879 |      41382 |           sqlalchemy.dialects.postgresql
import time:       233 |        233 |               sqlalchemy.ext
import time:       209 |        209 |                 sqlalchemy.ext.asyncio.exc
import time:       877 |        877 |                 sqlalchemy.ext.asyncio.base
import time:      1198 |       1198 |                 sqlalchemy.ext.asyncio.result
import time:      1225 |       3508 |               sqlalchemy.ext.asyncio.engine
import time:      1600 |       1600 |                 sqlalchemy.ext.asyncio.session
import time:       756 |       2355 |               sqlalchemy.ext.asyncio.scoping
import time:       322 |       6417 |             sqlalchemy.ext.asyncio
import time:      2120 |       2120 |                   dotenv.parser
import time:       585 |        585 |                   dotenv.variables
import time:       969 |       3674 |                 dotenv.main
import time:       404 |       4077 |               dotenv
import time:     11087 |      15164 |             app.config
import time:      2096 |       2096 |                   psycopg.pq._enums
import time:       744 |        744 |                         sysconfig
import time:       998 |        998 |                         _sysconfigdata__x86_64-linux-gnu
import time:       720 |       2461 |                       zoneinfo._tzpath
import time:       276 |        276 |                       zoneinfo._common
import time:       504 |        504 |                       _zoneinfo
import time:       328 |       3567 |                     zoneinfo
import time:       518 |       4084 |                   psycopg._compat
import time:      1923 |       8103 |                 psycopg.pq.abc
import time:       828 |        828 |                       _ctypes
import time:       443 |        443 |                       ctypes._endian
import time:      1368 |       2638 |                     ctypes
import time:       400 |       3038 |                   ctypes.util
import time:      9717 |       9717 |                     psycopg.errors
import time:       704 |      10421 |                   psycopg._encodings
import time:      3134 |      16591 |                 psycopg.pq.misc
import time:       193 |        193 |                 psycopg_c
import time:       245 |        245 |                   psycopg_binary.version
import time:       360 |        605 |                 psycopg_binary
import time:      8734 |       8734 |                 psycopg_binary.pq
import time:       763 |      34987 |               psycopg.pq
import time:       925 |        925 |                     psycopg._enums
import time:      1549 |       2474 |                   psycopg.abc
import time:       903 |        903 |                   psycopg.rows
import time:      1186 |       4562 |                 psycopg._typeinfo
import time:       367 |       4928 |               psycopg.types
import time:       174 |        174 |                       backports_abc
import time:       386 |        386 |                       psycopg._wrappers
import time:      3044 |       3603 |                     psycopg_binary._psycopg
import time:       212 |       3815 |                   psycopg._cmodule
import time:       922 |       4737 |                 psycopg._adapters_map
import time:       519 |       5255 |               psycopg.postgres
import time:      1868 |       1868 |               psycopg._tpc
import time:       389 |        389 |                   _queue
import time:       456 |        844 |                 queue
import time:       748 |        748 |                 psycopg.adapt
import time:       464 |        464 |                   psycopg.waiting
